API Well Number,County,Company Name,API Hole Number,Sidetrack Code,Completion Code,Well Type Code,Production Field,Well Status Code,Well Name,Town,Producing Formation,Months in Production,"Gas Produced, MCF","Water Produced, bbl","Oil Produced, bbl",Reporting Year,Location 1
31009055570000,Cattaraugus,Not Applicable,05557,00,00,NL,Not Applicable,VP,Voided Permit     ,UNK,Chipmunk,,,,,2001,"UNK, NY
"
31009133440000,Cattaraugus,Iroquois Gas Corp.,13344,00,00,OD,Not Applicable,PA,F.Johnson 1,UNK,Not Applicable,0,0,,,2001,"UNK, NY
"
31009134270000,Cattaraugus,Iroquois Gas Corp.,13427,00,00,OD,Not Applicable,IN,L.Angore (Bridges),UNK,Not Applicable,0,0,,,2001,"UNK, NY
"
31009134190000,Cattaraugus,Iroquois Gas Corp.,13419,00,00,OD,Not Applicable,IN,Koelzow,UNK,Not Applicable,0,0,,,2001,"UNK, NY
"
31029154370000,Erie,"Flint Oil & Gas, Inc.",15437,00,00,NL,Not Applicable,NR,"Renaldo, P. A. 1",UNK,Not Applicable,,,,,2001,"UNK, NY
"
31009133270000,Cattaraugus,Iroquois Gas Corp.,13327,00,00,OD,Not Applicable,PA,W.Moore,UNK,Not Applicable,0,0,,,2001,"UNK, NY
"
31029034870000,Erie,Iroquois Gas Corp.,03487,00,00,GD,Not Applicable,PA,Ewald Robert 1,UNK,Medina,0,0,,,2001,"UNK, NY
"
31009134000000,Cattaraugus,Iroquois Gas Corp.,13400,00,00,OD,Not Applicable,IN,Kenworth,UNK,Not Applicable,0,0,,,2001,"UNK, NY
"
31009134120000,Cattaraugus,Iroquois Gas Corp.,13412,00,00,OD,Not Applicable,IN,Moran,UNK,Not Applicable,0,0,,,2001,"UNK, NY
"
31009133200000,Cattaraugus,Iroquois Gas Corp.,13320,00,00,OD,Not Applicable,PA,Hatch,UNK,Not Applicable,0,0,,,2001,"UNK, NY
"
31009134280000,Cattaraugus,Iroquois Gas Corp.,13428,00,00,OD,Not Applicable,IN,E.Blackman,UNK,Not Applicable,0,0,,,2001,"UNK, NY
"
31009133200000,Cattaraugus,Iroquois Gas Corp.,13320,00,00,OD,Not Applicable,PA,Hatch,UNK,Not Applicable,,,,,2003,"UNK, NY
"
31009133270000,Cattaraugus,Iroquois Gas Corp.,13327,00,00,OD,Not Applicable,PA,W.Moore,UNK,Not Applicable,,,,,2003,"UNK, NY
"
31009133440000,Cattaraugus,Iroquois Gas Corp.,13344,00,00,OD,Not Applicable,PA,F.Johnson 1,UNK,Not Applicable,,,,,2003,"UNK, NY
"
31009134000000,Cattaraugus,Iroquois Gas Corp.,13400,00,00,OD,Not Applicable,IN,Kenworth,UNK,Not Applicable,,,,,2003,"UNK, NY
"
31009134120000,Cattaraugus,Iroquois Gas Corp.,13412,00,00,OD,Not Applicable,IN,Moran,UNK,Not Applicable,,,,,2003,"UNK, NY
"
31009134190000,Cattaraugus,Iroquois Gas Corp.,13419,00,00,OD,Not Applicable,IN,Koelzow,UNK,Not Applicable,,,,,2003,"UNK, NY
"
31009134270000,Cattaraugus,Iroquois Gas Corp.,13427,00,00,OD,Not Applicable,IN,L.Angore (Bridges),UNK,Not Applicable,,,,,2003,"UNK, NY
"
